Dptr Hour,Length of Flight (Hrs),Day of Week,Passengers Boarded,Stock Out Occurred,Cheese Platters Sold
8,1,Tuesday,144,0,18
5,3,Monday,152,0,15
4,2,Thursday,150,0,16
6,2,Thursday,131,0,13
5,6,Thursday,164,0,18
15,3,Monday,139,0,18
1,6,Saturday,157,0,16
19,4,Thursday,136,0,18
8,6,Thursday,113,0,15
22,3,Monday,120,0,11
3,1,Sunday,111,0,10
14,3,Friday,116,0,16
10,3,Saturday,133,0,17
19,6,Wednesday,120,0,16
4,1,Thursday,152,0,15
2,3,Thursday,138,0,16
0,2,Saturday,154,0,14
4,6,Thursday,133,0,15
5,5,Wednesday,144,0,14
12,6,Monday,117,0,16
2,2,Monday,138,0,14
3,6,Monday,157,0,16
18,5,Saturday,145,0,18
8,6,Friday,141,0,19
16,6,Saturday,128,0,16
22,2,Sunday,135,0,12
13,1,Saturday,106,0,12
21,4,Monday,122,0,13
23,3,Monday,144,0,15
22,3,Saturday,126,0,11
0,6,Monday,88,0,10
21,5,Tuesday,164,0,18
10,4,Thursday,137,0,19
23,3,Sunday,126,0,11
6,3,Monday,154,0,17
1,2,Friday,94,0,10
17,2,Monday,139,0,18
5,1,Thursday,132,0,14
21,5,Sunday,154,0,15
23,2,Wednesday,108,0,11
8,6,Tuesday,98,0,13
7,4,Tuesday,146,0,15
7,6,Friday,165,0,17
1,4,Tuesday,141,0,15
0,2,Saturday,134,0,12
19,3,Tuesday,127,0,17
6,1,Thursday,93,0,10
17,2,Thursday,109,0,14
9,4,Sunday,146,0,19
2,4,Wednesday,142,0,15
24,6,Saturday,117,0,12
24,1,Wednesday,165,0,16
20,1,Tuesday,127,0,12
17,3,Tuesday,133,0,18
22,3,Saturday,163,0,14
11,4,Wednesday,138,0,18
2,6,Wednesday,114,0,13
1,6,Friday,125,0,14
24,3,Thursday,165,0,18
6,4,Tuesday,165,0,17
12,2,Thursday,103,0,14
24,3,Monday,130,0,13
10,2,Saturday,131,0,17
16,3,Thursday,121,0,16
24,5,Thursday,165,0,18
1,4,Friday,121,0,12
23,2,Friday,161,0,17
22,4,Thursday,143,0,16
18,1,Sunday,117,0,13
23,4,Wednesday,128,0,14
7,1,Thursday,138,0,14
10,2,Saturday,135,0,16
16,2,Tuesday,121,0,17
16,1,Wednesday,151,0,19
0,5,Thursday,161,0,17
6,4,Thursday,146,0,16
23,5,Wednesday,165,0,17
15,1,Saturday,107,0,11
6,2,Wednesday,165,0,19
23,3,Saturday,144,0,13
9,3,Friday,125,0,18
3,3,Tuesday,133,0,13
18,5,Tuesday,142,0,19
20,2,Thursday,139,0,15
24,5,Friday,108,0,12
23,4,Friday,94,0,10
10,3,Sunday,116,0,15
8,6,Wednesday,128,0,18
23,2,Tuesday,155,0,16
12,3,Tuesday,127,0,16
16,5,Friday,115,0,16
20,5,Wednesday,140,0,16
23,2,Wednesday,160,0,17
23,1,Tuesday,123,0,13
23,6,Monday,152,0,19
15,5,Sunday,122,0,15
11,1,Sunday,161,0,19
14,1,Saturday,165,0,19
2,5,Wednesday,120,0,13
22,5,Thursday,155,0,16
24,6,Monday,135,0,15
19,2,Tuesday,115,0,15
20,1,Friday,131,0,13
22,5,Wednesday,134,0,14
6,1,Sunday,165,0,15
18,1,Tuesday,131,0,17
7,1,Tuesday,133,0,14
11,6,Sunday,139,0,19
19,5,Monday,114,0,16
23,4,Thursday,136,0,14
2,4,Saturday,136,0,13
23,2,Wednesday,132,0,14
6,6,Wednesday,165,0,17
3,5,Tuesday,146,0,16
2,4,Tuesday,99,0,11
18,3,Tuesday,131,0,18
1,2,Wednesday,146,0,13
5,6,Saturday,165,0,16
2,6,Sunday,165,0,16
10,1,Monday,98,0,13
17,5,Saturday,93,0,11
16,6,Saturday,119,0,15
18,2,Saturday,165,0,19
20,1,Thursday,165,0,17
15,4,Saturday,140,0,18
13,5,Tuesday,117,0,16
22,3,Thursday,146,0,15
2,6,Wednesday,139,0,15
7,6,Monday,150,0,17
5,5,Wednesday,165,0,18
21,2,Wednesday,165,0,18
2,1,Tuesday,163,0,16
8,2,Thursday,139,0,19
1,3,Thursday,162,0,16
6,2,Saturday,138,0,13
24,1,Sunday,165,0,14
24,2,Thursday,165,0,17
9,1,Tuesday,136,0,17
19,5,Monday,127,0,18
11,6,Tuesday,142,0,19
6,4,Saturday,114,0,11
2,6,Friday,124,0,14
24,1,Monday,122,0,12
6,4,Tuesday,165,0,18
1,4,Tuesday,136,0,13
7,4,Tuesday,139,0,15
20,2,Thursday,141,0,14
14,4,Monday,116,0,16
2,4,Saturday,141,0,14
2,1,Sunday,151,0,14
6,1,Friday,131,0,11
6,2,Wednesday,150,0,15
2,5,Tuesday,141,0,16
21,5,Monday,113,0,12
5,3,Monday,146,0,14
7,1,Monday,132,0,13
1,6,Thursday,130,0,15
0,2,Wednesday,141,0,14
17,1,Friday,147,0,19
1,2,Monday,149,0,15
18,4,Tuesday,82,0,12
8,1,Saturday,121,0,15
16,6,Friday,139,0,19
0,5,Friday,165,0,17
24,2,Friday,121,0,12
6,4,Tuesday,127,0,13
23,4,Friday,128,0,14
13,1,Friday,127,0,17
4,3,Tuesday,126,0,13
1,1,Tuesday,165,0,16
12,5,Sunday,142,0,17
21,5,Friday,124,0,13
16,1,Thursday,124,0,16
0,6,Thursday,155,0,19
5,1,Thursday,158,0,14
9,5,Saturday,128,0,16
9,1,Sunday,139,0,16
16,3,Sunday,117,0,14
10,1,Sunday,130,0,16
0,2,Wednesday,110,0,11
6,4,Monday,135,0,13
10,6,Monday,134,0,17
1,4,Friday,139,0,14
18,2,Friday,127,0,17
15,4,Wednesday,118,0,16
5,1,Sunday,154,0,14
7,3,Tuesday,146,0,16
21,6,Sunday,156,0,15
7,2,Monday,131,0,14
24,3,Tuesday,111,0,12
2,3,Thursday,113,0,11
10,5,Monday,95,0,13
2,1,Sunday,156,0,15
0,4,Wednesday,165,0,17
4,5,Friday,165,0,17
0,2,Wednesday,129,0,15
18,5,Thursday,108,0,15
1,3,Monday,165,0,17
0,1,Tuesday,165,0,17
24,6,Monday,163,0,19
4,3,Friday,165,0,17
20,1,Saturday,141,0,12
11,1,Saturday,117,0,15
1,3,Sunday,130,0,13
12,3,Tuesday,136,0,19
6,6,Tuesday,154,0,17
22,1,Wednesday,159,0,16
22,2,Monday,161,0,17
20,2,Sunday,159,0,15
0,1,Saturday,165,0,15
0,4,Wednesday,136,0,14
21,1,Saturday,165,0,14
20,2,Tuesday,144,0,15
4,5,Wednesday,165,0,18
11,5,Monday,128,0,19
7,1,Tuesday,159,0,16
21,1,Thursday,129,0,13
8,5,Tuesday,129,0,18
4,6,Wednesday,114,0,13
11,6,Sunday,101,0,13
5,5,Wednesday,165,0,17
8,5,Friday,142,0,19
24,1,Tuesday,102,0,10
11,2,Wednesday,115,0,15
9,4,Saturday,132,0,17
0,5,Monday,165,0,19
19,2,Tuesday,134,0,17
8,5,Thursday,139,0,18
20,5,Saturday,148,0,14
12,3,Monday,138,0,19
2,2,Thursday,151,0,16
0,6,Friday,137,0,15
1,4,Tuesday,99,0,11
5,2,Monday,139,0,15
18,2,Monday,110,0,14
24,1,Tuesday,143,0,14
22,4,Sunday,165,0,15
9,2,Sunday,165,0,19
7,5,Sunday,145,0,14
4,5,Friday,146,0,15
23,2,Sunday,162,0,15
23,2,Sunday,146,0,13
7,5,Friday,143,0,15
3,2,Monday,126,0,13
13,3,Monday,145,0,19
22,6,Thursday,114,0,12
1,4,Thursday,134,0,14
23,4,Saturday,165,0,16
3,3,Sunday,125,0,12
23,1,Sunday,130,0,12
16,3,Tuesday,141,0,19
1,3,Saturday,154,0,15
18,1,Thursday,135,0,17
7,1,Monday,165,0,16
10,3,Thursday,115,0,15
2,5,Monday,130,0,14
4,4,Thursday,164,0,18
9,2,Monday,142,0,19
24,3,Sunday,101,0,9
21,3,Sunday,132,0,13
10,5,Monday,138,0,19
14,4,Sunday,126,0,16
13,2,Saturday,144,0,17
23,5,Saturday,101,0,10
5,5,Sunday,128,0,13
8,6,Saturday,130,0,16
19,3,Wednesday,114,0,14
7,6,Saturday,91,0,9
3,1,Sunday,165,0,13
12,1,Thursday,131,0,17
21,2,Wednesday,165,0,17
23,1,Tuesday,165,0,17
22,5,Saturday,151,0,15
10,4,Thursday,135,0,19
12,4,Friday,131,0,17
6,4,Wednesday,137,0,15
21,3,Wednesday,136,0,14
20,5,Monday,115,0,13
17,1,Sunday,143,0,18
6,4,Thursday,139,0,14
0,1,Monday,136,0,14
4,3,Sunday,141,0,12
23,3,Wednesday,113,0,11
8,3,Monday,128,0,17
23,2,Tuesday,165,0,15
17,1,Wednesday,119,0,16
11,1,Sunday,165,0,19
5,1,Sunday,164,0,15
18,3,Friday,108,0,14
20,1,Wednesday,135,0,13
6,5,Friday,132,0,14
23,3,Wednesday,162,0,16
4,5,Wednesday,112,0,13
1,5,Wednesday,147,0,15
22,5,Thursday,100,0,11
12,3,Saturday,153,0,19
17,2,Monday,121,0,16
23,1,Wednesday,163,0,18
3,1,Monday,124,0,11
7,6,Monday,134,0,15
14,1,Friday,120,0,16
2,4,Saturday,165,0,16
24,3,Saturday,165,0,16
18,6,Saturday,141,0,19
7,5,Sunday,165,0,17
22,3,Sunday,165,0,17
2,5,Sunday,117,0,12
6,1,Saturday,150,0,14
2,1,Sunday,118,0,11
6,6,Thursday,128,0,14
14,1,Sunday,165,0,19
1,6,Saturday,163,0,16
24,3,Tuesday,121,0,13
15,4,Tuesday,137,0,19
5,1,Friday,134,0,15
0,6,Tuesday,128,0,14
22,1,Monday,155,0,15
20,4,Thursday,74,0,8
16,4,Friday,143,0,19
17,2,Tuesday,145,0,19
19,5,Friday,123,0,17
24,6,Wednesday,136,0,14
1,1,Saturday,161,0,13
22,3,Wednesday,83,0,9
2,2,Monday,165,0,17
10,2,Saturday,126,0,15
18,5,Friday,114,0,15
1,5,Thursday,138,0,16
13,2,Wednesday,97,0,12
11,6,Wednesday,115,0,16
9,3,Sunday,138,0,17
24,2,Tuesday,150,0,15
17,3,Wednesday,135,0,18
14,1,Tuesday,125,0,16
23,1,Wednesday,162,0,17
1,5,Tuesday,165,0,18
